Game,Team,Champion,Player,Role,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,
2,BLG,Gnar,Bin,TOP,18,3,1,6,275,8,,9.2,13045,436,21.40%,37,16,2,4,4,1.24,0.54,0.13,0.07,12.90%,32915,24655,8260,0,1101,30.80%,0.3,50%,,0,0,0,0,1899,25,499,0,0,15427,15427,10215,0,25410,0,32,468,29645,48,6,23,0,495,0
2,BLG,Pantheon,XUN,JUNGLE,15,9,1,4,190,177,,6.4,13046,436,21.40%,51,11,7,10,9,1.71,0.37,0.33,0.23,17.80%,18475,16577,534,1364,618,17.30%,0.43,72%,,1,0,0,0,-6,-24,-784,0,0,1854,1854,13394,0,18990,0,18,256,26148,25,11,29,0,0,353
2,BLG,Syndra,Knight,MID,16,2,0,9,255,5,,8.5,11919,399,19.60%,41,14,6,5,5,1.37,0.47,0.17,0.2,14.30%,26530,1423,23448,1659,887,25%,0.37,61%,,0,0,0,0,521,27,1102,1,0,7876,7876,2606,0,6890,0,56,547,12845,0,7,24,0,0,4
2,BLG,Sivir,Viper,ADC,16,3,1,10,302,12,,10.1,14904,498,24.50%,53,21,15,10,9,1.77,0.7,0.33,0.5,18.50%,22307,22307,0,0,746,20.80%,0.43,72%,,1,0,0,0,-790,-19,-833,0,0,5194,5194,5384,0,6318,0,0,23,13739,12,11,35,0,0,600
2,BLG,Alistar,ON,SUPPORT,12,1,4,12,24,0,,0.8,7971,267,13.10%,105,60,7,13,18,3.51,2.01,0.43,0.23,36.60%,6805,956,4809,1040,228,6.40%,0.43,72%,,0,0,0,0,-67,6,196,0,0,340,340,13183,6589,22472,789,49,113,24163,44,21,37,0,0,29
2,G2,Sion,Brokenblade,TOP,16,0,3,1,242,0,,8.1,9158,306,18%,41,9,7,4,3,1.37,0.3,0.13,0.23,14.20%,10383,6800,3580,3,347,14.00%,0.03,14.30%,,0,0,0,0,-1899,-25,-499,0,0,2473,2473,6954,0,60196,0,25,681,31422,64,5,20,0,0,0
2,G2,Dr. Mundo,SkewMond,JUNGLE,15,2,4,2,236,207,,7.9,11032,369,22.10%,58,7,16,5,4,1.94,0.23,0.17,0.54,20.10%,17027,4259,9982,2786,569,23.00%,0.13,57.10%,,0,0,0,0,6,24,784,0,0,0,0,30225,0,32657,0,15,632,39116,107,6,25,0,0,176
2,G2,Aurora,Caps,MID,14,1,4,4,214,0,,7.2,9070,303,18.20%,32,7,7,4,3,1.07,0.23,0.13,0.23,11.10%,15442,1628,12404,1410,516,20.80%,0.17,71.40%,,0,0,0,0,-521,-27,-1102,-1,0,0,0,4385,0,14860,0,5,160,26050,165,7,25,0,0,21
2,G2,Varus,Hans Sama,ADC,15,4,3,0,291,0,,9.7,13352,447,26.80%,40,12,9,6,5,1.34,0.4,0.2,0.3,13.90%,22167,19338,2757,72,741,29.90%,0.13,57.10%,1,0,0,0,0,790,19,833,0,0,523,523,3260,0,8554,0,21,259,16225,102,8,31,495,0,0
2,G2,Neeko,Labrov,SUPPORT,11,0,4,4,30,0,,1,7233,242,14.50%,117,47,19,14,12,3.91,1.57,0.47,0.64,40.60%,9143,1066,8077,0,306,12.30%,0.13,57.10%,,0,0,0,0,67,-6,-196,0,0,1072,1072,2578,854,7640,0,18,54,15566,59,16,35,0,0,0
3,BLG,Renekton,Bin,TOP,17,2,4,5,274,0,,9.1,11609,386,17.30%,31,7,3,2,2,1.03,0.23,0.07,0.1,10.80%,17093,14901,2135,57,569,15.80%,0.23,26%,,0,0,0,0,807,20,803,0,0,3390,3390,11952,0,32396,0,23,62,34303,143,3,21,0,249,0
3,BLG,Wukong,XUN,JUNGLE,16,4,2,7,216,192,,7.2,12787,425,19.10%,65,8,19,6,6,2.16,0.27,0.2,0.63,22.70%,13942,12093,1518,331,464,12.90%,0.37,41%,,1,0,0,0,688,9,609,1,0,8959,8959,12220,0,25805,0,11,123,29266,78,7,23,0,377,353
3,BLG,Akali,Knight,MID,18,14,1,1,302,8,,10,16525,550,24.70%,23,5,5,2,2,0.76,0.17,0.07,0.17,8.00%,30259,1466,27149,1644,1006,28%,0.5,56%,5,0,2,0,0,933,8,1271,1,0,10875,10875,8612,0,14593,0,4,116,22514,47,4,22,0,700,4
3,BLG,Yunara,Viper,ADC,15,5,3,12,290,19,,9.6,16144,537,24.10%,50,21,9,8,8,1.66,0.7,0.27,0.3,17.50%,35268,20096,14502,670,1173,32.60%,0.57,63%,,0,0,0,0,2543,42,947,1,0,14810,14810,6878,0,14589,0,15,300,20363,119,10,27,0,441,600
3,BLG,Lulu,ON,SUPPORT,13,2,2,16,18,0,,0.6,9877,329,14.80%,117,56,12,14,17,3.89,1.86,0.47,0.4,40.90%,11709,1292,10007,410,389,10.80%,0.6,67%,,0,0,0,0,1045,-8,1711,2,0,6650,6650,6918,3002,7401,7954,31,294,13728,66,20,37,0,226,29
3,G2,K'Sante,Brokenblade,TOP,16,3,5,3,238,0,,7.9,11091,369,20%,33,11,5,5,5,1.1,0.37,0.17,0.17,12.50%,21175,17091,3059,1025,704,24.70%,0.2,50.00%,,0,0,0,0,-807,-20,-803,0,0,2458,2458,5292,0,46065,56,32,836,32988,181,6,30,438,0,0
3,G2,Trundle,SkewMond,JUNGLE,14,1,6,9,165,149,,5.5,10080,335,18.50%,55,10,15,11,9,1.83,0.33,0.37,0.5,20.80%,9924,6567,2938,419,330,11.60%,0.33,83.30%,,0,0,0,0,-688,-9,-609,-1,0,1177,1177,17751,0,29232,0,35,404,37309,143,12,33,226,0,176
3,G2,Ahri,Caps,MID,15,7,5,4,251,0,,8.3,13035,434,23.90%,39,11,6,7,6,1.3,0.37,0.23,0.2,14.70%,32778,2913,23599,6266,1090,38.30%,0.37,91.70%,,0,1,0,0,-933,-8,-1271,-1,0,1509,1509,6473,0,9538,0,21,68,23052,169,9,29,629,0,21
3,G2,Caitlyn,Hans Sama,ADC,14,1,6,7,235,4,,7.8,12614,420,23.20%,34,9,9,2,1,1.13,0.3,0.07,0.3,12.80%,16392,15111,1263,18,545,19.10%,0.27,66.70%,,0,0,0,0,-2543,-42,-947,-1,0,2040,2040,2360,0,9611,0,8,73,15532,166,4,26,700,0,0
3,G2,Milio,Labrov,SUPPORT,12,0,5,12,25,0,,0.8,7637,254,14.00%,104,51,14,9,14,3.46,1.7,0.3,0.47,39.20%,5367,1370,3997,0,179,6.30%,0.4,100.00%,,0,0,0,0,-1045,8,-1711,-2,0,1707,1707,11605,7530,6237,6037,21,94,18041,126,16,35,0,0,0
4,G2,Yorick,Brokenblade,TOP,19,1,3,5,321,11,,8.4,15200,398,20.50%,41,13,2,4,3,1.07,0.34,0.1,0.05,9.80%,19675,14498,5177,0,515,17.30%,0.16,26%,,0,0,0,0,-86,-17,-258,0,0,13429,13429,10006,0,39533,0,8,160,34478,151,5,27,0,122,0
4,G2,Jarvan IV,SkewMond,JUNGLE,17,4,3,16,245,216,,6.4,15037,394,20.30%,89,14,22,11,11,2.33,0.37,0.29,0.58,21.20%,16247,12198,2023,2026,426,14.30%,0.52,87%,1,0,0,0,0,214,13,482,0,0,1393,1393,15731,0,54588,0,27,719,36451,72,12,34,0,66,353
4,G2,Aurora,Caps,MID,18,12,0,7,277,4,,7.3,16182,424,21.80%,58,16,10,5,5,1.52,0.42,0.13,0.26,13.80%,37144,2034,33629,1481,973,33%,0.5,83%,,1,1,0,0,944,6,659,1,0,9099,9099,9335,1001,18430,0,12,290,22866,0,7,24,469,0,4
4,G2,Yunara,Hans Sama,ADC,17,4,3,4,399,27,,10.4,17498,458,23.60%,84,15,25,8,6,2.2,0.39,0.21,0.65,20.00%,29955,17875,11484,596,785,26.30%,0.21,35%,,0,0,0,0,-910,20,934,1,0,5120,5120,8053,0,19837,0,9,317,30466,109,9,31,0,396,600
4,G2,Nami,Labrov,SUPPORT,15,2,4,16,30,0,,0.8,10339,271,13.90%,147,69,16,6,13,3.85,1.81,0.16,0.42,35.10%,10892,1865,8987,40,285,9.60%,0.47,78%,,0,0,0,0,-259,-13,-595,-1,0,603,603,25641,19318,10458,3159,30,278,21105,104,15,37,0,37,29
4,BLG,Gnar,Bin,TOP,20,2,4,3,382,23,,10,16075,421,22%,40,11,4,6,5,1.05,0.29,0.16,0.1,10.50%,33814,25127,8109,578,886,29.20%,0.13,38.50%,,0,0,0,0,86,17,258,0,0,9503,9503,10963,0,42141,0,37,833,38769,118,7,32,0,0,0
4,BLG,Poppy,XUN,JUNGLE,17,5,3,7,212,198,,5.6,14224,373,19.80%,60,20,9,18,18,1.57,0.52,0.47,0.24,15.70%,15100,12872,1677,551,395,13.00%,0.31,92.30%,,1,0,0,0,-214,-13,-482,0,0,1596,1596,14548,0,50655,0,37,964,32365,114,20,42,472,399,176
4,BLG,Annie,Knight,MID,16,0,6,5,249,0,,6.5,11894,311,16.60%,51,16,11,4,4,1.34,0.42,0.1,0.29,13.40%,23713,713,23000,0,621,20.50%,0.13,38.50%,,0,0,0,0,-944,-6,-659,-1,0,3981,3981,4658,0,18287,1751,25,355,22685,174,6,24,0,0,21
4,BLG,Sivir,Viper,ADC,17,5,4,3,401,28,,10.5,19599,513,27.30%,67,24,14,9,9,1.75,0.63,0.24,0.37,17.50%,35013,34498,449,66,917,30.20%,0.21,61.50%,,1,0,0,0,910,-20,-934,-1,0,5513,5513,9742,0,23941,0,0,20,25722,116,11,39,149,70,0
4,BLG,Lulu,ON,SUPPORT,15,1,6,10,35,0,,0.9,9961,261,13.90%,164,78,19,17,18,4.3,2.04,0.45,0.5,42.90%,8169,1734,6435,0,214,7.10%,0.29,84.60%,,0,0,0,0,259,13,595,1,0,78,78,3396,1225,9252,8991,25,192,17062,167,22,44,0,0,0
5,G2,Zaahen,Brokenblade,TOP,19,2,7,3,335,4,,8.5,15085,381,20.40%,47,17,3,8,7,1.19,0.43,0.2,0.08,10.80%,35939,33335,2604,0,909,25.80%,0.13,42%,,0,0,0,0,-1143,-20,-1161,-1,0,3206,3206,21771,0,57312,0,26,201,65041,283,9,33,972,0,0
5,G2,Dr. Mundo,SkewMond,JUNGLE,18,3,2,3,302,256,,7.6,14921,377,20.20%,74,11,17,10,9,1.87,0.28,0.25,0.43,17.00%,32006,10984,16686,4336,809,22.90%,0.15,50%,1,0,0,0,0,-426,17,461,0,0,0,0,51026,0,66537,0,28,716,65881,16,12,33,248,0,353
5,G2,LeBlanc,Caps,MID,18,1,5,4,332,0,,8.4,13980,353,18.90%,56,6,15,3,2,1.42,0.15,0.08,0.38,12.90%,25081,2578,20216,2287,634,18%,0.13,42%,1,0,0,0,0,738,16,1325,1,0,8048,8048,4837,569,18985,0,12,42,26887,210,7,26,0,0,4
5,G2,Corki,Hans Sama,ADC,17,5,6,3,364,8,,9.2,19530,494,26.40%,47,16,14,9,6,1.19,0.4,0.23,0.35,10.80%,35303,23531,8286,3486,893,25.30%,0.2,67%,,1,0,0,0,-812,-27,-490,-1,0,2988,2988,6445,0,19051,0,2,47,32023,188,10,41,977,19,600
5,G2,Bard,Labrov,SUPPORT,14,1,8,9,37,0,,0.9,10413,263,14.10%,211,82,29,12,21,5.34,2.07,0.3,0.73,48.50%,11170,3708,6892,570,282,8.00%,0.25,83%,,0,0,0,0,161,-14,-690,-1,0,0,0,8991,3371,24988,1922,58,216,31788,196,25,47,0,0,29
5,BLG,Gwen,Bin,TOP,20,5,1,10,323,12,,8.2,16685,422,21%,45,9,11,3,3,1.14,0.23,0.08,0.28,11.60%,46694,6834,33868,5992,1181,25.00%,0.38,53.60%,1,0,0,0,0,1143,20,1161,1,0,13811,13811,12910,0,33121,0,7,155,30832,61,5,28,0,700,0
5,BLG,Pantheon,XUN,JUNGLE,18,9,1,10,262,236,,6.6,16539,418,20.70%,50,6,10,5,4,1.26,0.15,0.13,0.25,12.90%,54666,48899,1095,4672,1382,29.30%,0.48,67.90%,1,0,0,0,0,426,-17,-461,0,0,2059,2059,30538,0,44432,0,43,453,50750,12,8,29,19,0,176
5,BLG,Galio,Knight,MID,18,4,2,9,314,0,,7.9,14506,367,18.10%,36,5,7,4,3,0.91,0.13,0.1,0.18,9.30%,24784,430,24354,0,627,13.30%,0.33,46.40%,,0,0,0,0,-738,-16,-1325,-1,0,4173,4173,9693,0,60460,2180,37,137,36798,77,6,25,0,477,21
5,BLG,Ezreal,Viper,ADC,18,7,4,10,385,13,,9.7,20787,526,26.00%,68,26,10,14,12,1.72,0.66,0.35,0.25,17.50%,45563,29711,15400,452,1152,24.40%,0.43,60.70%,1,0,0,0,0,812,27,490,1,0,12762,12762,7210,0,17742,0,4,151,29172,127,15,39,0,772,0
5,BLG,Shen,ON,SUPPORT,15,3,4,18,38,0,,1,11415,289,14.30%,189,97,18,25,29,4.78,2.45,0.63,0.46,48.70%,14723,8241,4819,1663,372,7.90%,0.53,75.00%,,0,0,0,0,-161,14,690,1,0,201,201,10114,864,41178,3784,39,171,35189,77,32,54,0,248,0
6,BLG,Jax,Bin,TOP,17,7,1,3,255,12,,9,14107,499,23.50%,32,14,2,2,2,1.13,0.5,0.07,0.07,10.70%,27347,14724,12291,332,968,23.40%,0.35,59%,,1,1,0,0,543,-8,-430,0,0,14690,14690,8187,0,36549,0,22,261,30358,44,4,18,0,246,0
6,BLG,Xin Zhao,XUN,JUNGLE,16,1,2,11,220,197,,7.8,11290,400,18.80%,55,7,12,7,6,1.95,0.25,0.25,0.42,18.40%,23305,22029,741,535,825,19.90%,0.42,71%,,0,0,0,0,1086,23,615,1,0,2115,2115,26627,0,29663,0,27,632,40020,84,8,26,0,263,353
6,BLG,Mel,Knight,MID,16,6,1,7,263,4,,9.3,12375,438,20.70%,44,8,10,7,5,1.56,0.28,0.25,0.35,14.70%,28805,2231,26559,15,1020,25%,0.46,77%,,0,0,0,0,585,7,-406,-1,0,3203,3203,4867,870,9237,0,24,323,15146,41,10,26,0,386,4
6,BLG,Ashe,Viper,ADC,14,3,0,9,260,4,,9.2,14018,496,23.40%,68,16,15,6,6,2.41,0.57,0.21,0.53,22.70%,29249,27499,1750,0,1035,25.00%,0.42,71%,,0,0,0,0,1042,21,128,0,0,11722,11722,4296,0,7416,0,46,716,10174,0,8,31,0,0,600
6,BLG,Seraphine,ON,SUPPORT,13,0,1,14,28,0,,1,8121,287,13.60%,100,50,10,10,14,3.54,1.77,0.35,0.35,33.40%,8341,1741,6600,0,295,7.10%,0.5,82%,,0,0,0,0,-57,-10,842,1,0,5038,5038,9558,5525,8561,5626,25,108,12700,29,17,32,0,13,29
6,G2,Sion,Brokenblade,TOP,16,0,2,4,255,0,,9,9499,336,20%,35,11,3,4,4,1.24,0.39,0.14,0.11,15.10%,22299,14552,7628,119,789,30.20%,0.14,80.00%,,0,0,0,0,-543,8,430,0,0,2594,2594,9428,0,83433,0,44,596,39344,92,6,26,0,0,0
6,G2,Aatrox,SkewMond,JUNGLE,13,0,5,4,159,152,,5.6,8436,299,18.10%,34,10,6,7,6,1.2,0.35,0.25,0.21,14.70%,11883,9440,1030,1413,421,16.10%,0.14,80.00%,,0,0,0,0,-1086,-23,-615,-1,0,0,0,14935,0,22311,0,16,317,30538,130,8,22,0,0,176
6,G2,Anivia,Caps,MID,16,2,2,3,249,4,,8.8,10567,374,22.70%,27,13,3,6,5,0.96,0.46,0.21,0.11,11.60%,17321,1427,15894,0,613,23.50%,0.18,100.00%,,0,0,0,0,-585,-7,406,1,0,6524,6524,9829,0,28117,0,42,1192,33343,40,9,28,399,0,21
6,G2,Varus,Hans Sama,ADC,13,3,5,0,227,0,,8,11459,406,24.60%,20,10,5,6,6,0.71,0.35,0.21,0.18,8.60%,14387,11771,2572,44,509,19.50%,0.11,60.00%,,1,0,0,0,-1042,-21,-128,0,0,1747,1747,2415,0,8941,0,18,251,16266,150,10,30,509,0,0
6,G2,Karma,Labrov,SUPPORT,11,0,3,3,40,0,,1.4,6672,236,14.30%,116,57,19,16,15,4.11,2.02,0.57,0.67,50.00%,7950,955,6995,0,281,10.80%,0.11,60.00%,,0,0,0,0,57,10,-842,-1,0,0,0,6287,2134,10253,5788,29,139,18155,45,18,35,0,0,0
7,BLG,Camille,Bin,TOP,16,3,1,2,258,2,,9.7,12156,457,23.50%,32,10,5,0,0,1.2,0.38,0,0.19,12.60%,14629,7618,1306,5705,550,25.70%,0.19,63%,,0,0,0,0,-363,22,-192,0,0,19248,19248,4063,0,17406,0,9,217,16133,28,1,15,5,0,0
7,BLG,Vi,XUN,JUNGLE,14,1,5,3,179,171,,6.7,9539,359,18.50%,41,7,7,7,6,1.54,0.26,0.26,0.26,16.10%,7472,7130,0,342,281,13.10%,0.15,50%,,0,0,0,0,-1267,-5,-1411,-1,0,566,566,6701,0,22448,0,24,251,19802,127,8,21,237,0,353
7,BLG,Cassiopeia,Knight,MID,16,4,3,4,227,4,,8.5,10548,397,20.40%,39,15,8,6,6,1.47,0.56,0.23,0.3,15.40%,14466,175,14281,10,544,25%,0.3,100%,,1,0,0,0,-666,-13,-1706,-1,0,4637,4637,5812,0,9673,0,30,474,17053,80,10,22,0,161,4
7,BLG,Xayah,Viper,ADC,15,0,0,4,311,8,,11.7,12446,468,24.10%,32,14,6,4,4,1.2,0.53,0.15,0.23,12.60%,17414,17414,0,0,655,30.50%,0.15,50%,,0,0,0,0,-830,30,857,0,0,8047,8047,4118,0,5973,0,5,13,12461,0,5,21,0,0,600
7,BLG,Alistar,ON,SUPPORT,11,0,3,6,23,0,,0.9,6993,263,13.50%,110,56,10,11,15,4.14,2.11,0.41,0.38,43.30%,3039,520,2519,0,114,5.30%,0.23,75%,,0,0,0,0,-97,4,-706,0,0,397,397,5686,3527,15379,228,35,92,15764,72,19,33,0,0,29
7,G2,K'Sante,Brokenblade,TOP,16,2,1,0,244,0,,9.2,9736,366,20%,30,10,2,2,2,1.13,0.38,0.08,0.08,11.90%,11306,9703,1381,222,425,19.30%,0.08,16.70%,,0,0,0,0,363,-22,192,0,0,4639,4639,2737,0,24474,0,27,1591,16735,0,3,21,161,0,0
7,G2,Wukong,SkewMond,JUNGLE,14,3,3,7,181,172,,6.8,10002,376,20.70%,43,7,6,6,5,1.62,0.26,0.23,0.23,17.10%,8766,7581,988,197,330,15.00%,0.38,83.30%,,0,0,0,0,1267,5,1411,1,0,0,0,7685,0,15480,0,9,194,19570,94,7,27,0,237,176
7,G2,Viktor,Caps,MID,15,3,1,7,234,0,,8.8,9911,373,20.50%,34,10,8,4,4,1.28,0.38,0.15,0.3,13.50%,21736,574,21074,88,818,37.10%,0.38,83.30%,1,0,0,0,0,666,13,1706,1,0,4885,4885,2402,0,13392,0,25,846,12393,12,6,20,0,0,21
7,G2,Kai,Hans Sama,ADC,14,4,1,3,271,0,,10.2,12236,460,25.30%,40,9,12,3,2,1.5,0.34,0.11,0.45,15.90%,12286,6150,6136,0,462,21.00%,0.26,58.30%,,2,0,0,0,830,-30,-857,0,0,1063,1063,5097,0,7448,0,0,40,13998,0,4,24,0,0,0
7,G2,Rakan,Labrov,SUPPORT,10,0,2,9,24,0,,0.9,6496,244,13.40%,105,47,12,11,10,3.95,1.77,0.41,0.45,41.70%,4537,879,3548,110,171,7.70%,0.34,75.00%,,0,0,0,0,97,-4,706,0,0,0,0,6472,1997,12334,1068,28,75,13479,61,14,29,0,5,0
