Game,Team,Champion,Player,Role,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,
2,G2,Kled,Brokenblade,TOP,18,3,3,7,259,8,,7.8,12757,382,19.20%,29,10,3,2,2,0.87,0.3,0.06,0.09,8.50%,27503,22479,2347,2677,823,24.80%,0.3,48%,,0,0,0,0,-744,-20,-629,-1,0,10718,10718,8236,0,33773,0,13,89,44217,93,3,25,0,0,
2,G2,Aatrox,SkewMond,JUNGLE,16,7,5,6,217,195,,6.5,13721,411,20.70%,65,15,14,12,12,1.95,0.45,0.36,0.42,19%,23171,19094,1423,2654,694,20.90%,0.39,62%,,1,0,0,0,775,0,971,1,0,5913,5913,19022,0,37201,0,25,476,37034,197,13,29,9,353,
2,G2,Galio,Caps,MID,17,3,4,13,257,0,,7.7,12188,365,18.40%,46,10,6,7,5,1.38,0.3,0.21,0.18,13.50%,25314,481,23862,971,758,22.90%,0.48,76%,,0,0,0,0,-761,-10,-179,-1,0,3489,3489,5453,0,41416,1959,59,167,32872,111,9,29,0,4,
2,G2,Ashe,Hans Sama,ADC,17,7,2,10,364,31,,10.9,18359,550,27.60%,72,14,20,7,6,2.16,0.42,0.21,0.6,21.20%,29711,25747,2004,1960,890,26.80%,0.51,81%,,0,0,0,0,2654,27,1174,1,0,7946,7946,8097,0,12786,0,43,882,18896,78,8,33,12,600,
2,G2,Braum,Labrov,SUPPORT,13,1,5,15,28,0,,0.8,9386,281,14.10%,128,61,12,9,13,3.83,1.83,0.27,0.36,38%,5013,661,3904,448,150,4.50%,0.48,76%,1,0,0,0,0,981,-4,663,0,0,1316,1316,3368,994,23427,2724,34,205,22260,149,16,36,0,29,
2,TSW,Olaf,Pun,TOP,17,2,5,9,261,0,,7.8,12587,377,20.00%,50,13,6,6,6,1.5,0.39,0.18,0.18,14.10%,32303,22564,0,9739,967,26.00%,0.33,57.90%,1,0,0,0,0,744,20,629,1,0,7130,7130,13213,0,47205,0,23,483,31383,217,8,32,600,0,
2,TSW,Naafiri,Hizto,JUNGLE,17,10,2,6,251,226,,7.5,15220,456,24.20%,63,13,11,13,10,1.89,0.39,0.39,0.33,18%,24136,19679,0,4457,723,19.40%,0.48,84.20%,,3,0,0,0,-775,0,-971,-1,0,0,0,19986,0,30992,0,17,280,31764,20,14,35,353,176,
2,TSW,Akali,Dire,MID,16,3,6,8,271,0,,8.1,12089,362,19.20%,41,9,7,8,6,1.23,0.27,0.24,0.21,11.50%,24868,2717,21923,228,745,20.00%,0.33,57.90%,1,0,0,0,0,761,10,179,1,0,10591,10591,9682,0,21372,0,4,118,32383,155,10,28,29,21,
2,TSW,Miss Fortune,Eddie,ADC,16,4,3,10,323,16,,9.7,15029,450,23.90%,52,14,15,4,3,1.56,0.42,0.12,0.45,14.60%,35829,32745,1439,1645,1073,28.80%,0.42,73.70%,,1,0,0,0,-2654,-27,-1174,-1,0,351,351,6520,0,14595,0,14,172,16309,59,7,28,4,0,
2,TSW,Nautilus,Bie,SUPPORT,12,0,6,11,37,0,,1.1,7987,239,12.70%,149,73,16,11,11,4.46,2.19,0.33,0.48,42.00%,7241,2173,4758,310,217,5.80%,0.33,57.90%,,0,0,0,0,-981,4,-663,0,0,0,0,3384,854,31616,580,67,222,18541,155,14,32,0,0,
3,G2,Shen,Brokenblade,TOP,18,9,2,6,206,4,,7.4,13284,478,21.90%,40,12,4,4,4,1.44,0.43,0.14,0.14,15.50%,35741,19711,16012,18,1287,28.60%,0.54,75%,2,1,0,0,0,184,-7,547,1,0,14535,14535,10485,0,48438,3220,46,338,37496,24,5,28,144,0,0
3,G2,Trundle,SkewMond,JUNGLE,16,4,2,11,200,175,,7.2,12905,465,21.20%,57,8,12,8,7,2.05,0.29,0.29,0.43,22.10%,20748,17382,2467,899,747,16.60%,0.54,75%,,0,0,0,0,154,-7,-567,0,0,6846,6846,24067,0,31767,0,33,492,35938,52,8,31,340,0,353
3,G2,Azir,Caps,MID,16,4,3,5,237,8,,8.5,11490,414,18.90%,28,11,5,4,3,1.01,0.4,0.14,0.18,10.90%,28661,1132,27529,0,1032,23%,0.32,45%,,0,0,0,0,-252,34,1469,2,0,8796,8796,2399,0,15131,0,13,219,17934,66,6,23,0,289,4
3,G2,Yunara,Hans Sama,ADC,15,2,3,6,340,4,,12.2,15149,546,24.90%,43,12,15,4,4,1.55,0.43,0.14,0.54,16.70%,30757,19028,11387,342,1108,24.60%,0.29,40%,,0,0,0,0,-707,-3,-60,0,0,8873,8873,7327,0,12301,0,10,284,17231,28,7,27,0,371,600
3,G2,Lulu,Labrov,SUPPORT,13,1,2,11,29,0,,1,7959,287,13.10%,90,48,8,9,11,3.24,1.73,0.32,0.29,34.90%,8963,1241,7722,0,323,7.20%,0.43,60%,,0,0,0,0,-434,-10,-408,0,0,796,796,4732,1342,6742,2955,27,228,12961,14,14,35,0,114,29
3,TSW,Jax,Pun,TOP,15,2,7,0,195,0,,7,10214,368,20%,46,17,3,8,7,1.66,0.61,0.29,0.11,18.80%,25696,14395,11211,90,925,29.50%,0.07,16.70%,1,0,0,0,0,-184,7,-547,-1,0,9586,9586,8487,0,34228,0,26,187,40560,216,11,27,0,144,0
3,TSW,Dr. Mundo,Hizto,JUNGLE,14,0,3,5,178,171,,6.4,9243,333,18.10%,31,11,1,8,7,1.12,0.4,0.29,0.04,12.70%,20199,4994,12302,2903,727,23.20%,0.18,41.70%,,0,0,0,0,-154,7,567,0,0,0,0,34626,0,28004,0,21,563,39516,115,9,26,0,104,176
3,TSW,Sylas,Dire,MID,14,7,6,1,186,0,,6.7,10959,395,21.50%,32,9,4,6,5,1.15,0.32,0.22,0.14,13.10%,17154,213,16873,68,618,19.70%,0.29,66.70%,2,2,0,0,0,252,-34,-1469,-2,0,1363,1363,11594,0,21659,559,20,370,36847,199,9,25,485,236,21
3,TSW,Aphelios,Eddie,ADC,14,2,3,2,286,1,,10.3,13570,489,26.60%,34,12,11,3,3,1.22,0.43,0.11,0.4,13.90%,20542,18855,1350,337,740,23.60%,0.14,33.30%,1,0,0,0,0,707,3,60,0,0,3998,3998,6129,0,9447,0,16,154,15167,79,4,23,289,0,0
3,TSW,Thresh,Bie,SUPPORT,12,1,1,4,41,0,,1.5,6962,251,13.70%,102,47,12,5,6,3.67,1.69,0.18,0.43,41.60%,3587,900,2687,0,129,4.10%,0.18,41.70%,,0,0,0,0,434,10,408,0,0,0,0,4594,706,11067,1126,28,159,17176,34,9,26,0,0,0
