Game,Team,Champion,Player,Role,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,
2,G2,K'Sante,Brokenblade,TOP,17,1,2,9,215,0,,6.7,11100,344,17.00%,51,15,6,6,6,1.58,0.47,0.19,0.19,14.20%,14623,12770,703,1150,453,16.50%,0.31,67%,,0,0,0,0,-545,-21,-279,0,0,3527,3527,6695,0,58936,1438,28,939,32239,94,7,26,0,198,0
2,G2,Zaahen,SkewMond,JUNGLE,17,2,1,6,263,220,,8.2,13775,427,21.10%,69,11,19,10,9,2.14,0.34,0.31,0.59,19.30%,15540,13801,236,1503,482,17.60%,0.25,53%,,0,0,0,0,-444,-16,-1145,-1,0,10033,10033,18774,0,26644,0,18,431,32527,28,11,34,0,0,353
2,G2,Viktor,Caps,MID,18,5,1,7,281,0,,8.7,13470,418,20.70%,30,12,4,6,5,0.93,0.37,0.19,0.12,8.40%,29641,977,28664,0,919,34%,0.37,80%,,0,0,0,0,-494,-1,11,0,0,10762,10762,5133,0,24427,0,31,1026,18649,59,8,28,0,600,4
2,G2,Varus,Hans Sama,ADC,16,6,1,6,309,15,,9.6,17504,543,26.80%,83,19,26,12,11,2.57,0.59,0.37,0.81,23.20%,22142,13882,8135,125,687,25.00%,0.37,80%,,1,0,0,0,1605,42,612,1,0,13000,13000,7153,0,11951,0,22,283,16216,50,13,33,0,700,600
2,G2,Braum,Labrov,SUPPORT,13,1,1,13,27,0,,0.8,9378,291,14.40%,125,58,12,10,14,3.88,1.8,0.31,0.37,34.90%,6459,607,5762,90,200,7.30%,0.43,93%,,0,0,0,0,914,2,37,0,0,402,402,3905,593,21168,916,42,180,19337,42,17,34,0,236,29
2,GEN,Vayne,Kiin,TOP,17,2,4,3,265,0,,8.2,11838,367,20%,55,17,8,4,4,1.71,0.53,0.12,0.25,16.60%,25521,18810,0,6711,791,33.00%,0.16,83.30%,,0,0,0,0,545,21,279,0,0,6011,6011,5454,0,16764,0,11,149,23563,137,5,26,434,0,0
2,GEN,Vi,Canyon,JUNGLE,16,1,4,4,230,209,,7.1,10880,337,18.50%,55,16,10,13,12,1.71,0.5,0.4,0.31,16.60%,5644,5296,0,348,175,7.30%,0.16,83.30%,,0,0,0,0,444,16,1145,1,0,0,0,9110,0,34401,0,18,435,27529,132,14,32,0,0,176
2,GEN,Ahri,Chovy,MID,17,3,0,3,346,0,,10.7,15353,476,26.00%,52,18,15,6,5,1.61,0.56,0.19,0.47,15.70%,20715,1049,14900,4766,642,26.80%,0.19,100.00%,,1,0,0,0,494,1,-11,0,0,9148,9148,7974,0,10927,0,27,104,21596,0,9,27,1300,0,21
2,GEN,Sivir,Ruler,ADC,16,0,2,4,343,8,,10.6,13756,427,23.30%,32,16,7,6,6,0.99,0.5,0.19,0.22,9.70%,20184,20184,0,0,626,26.10%,0.12,66.70%,,0,0,0,0,-1605,-42,-612,-1,0,2202,2202,6808,0,14167,0,0,0,20251,57,10,33,0,0,0
2,GEN,Alistar,Duro,SUPPORT,12,0,5,5,29,0,,0.9,7118,221,12.10%,137,65,14,14,12,4.25,2.02,0.43,0.43,41.40%,5218,352,4866,0,162,6.80%,0.16,83.30%,,0,0,0,0,-914,-2,-37,0,0,0,0,6740,3114,29018,2039,49,107,20813,99,16,36,0,0,0
3,G2,Shen,Brokenblade,TOP,18,3,0,8,294,4,,9.7,13142,434,20.70%,50,14,8,2,2,1.65,0.46,0.07,0.26,15.40%,14826,8167,6340,319,490,21.00%,0.36,69%,1,0,0,0,0,54,-7,-53,0,0,10581,10581,8250,0,35761,1978,20,374,26439,0,3,22,0,0,0
3,G2,Jarvan IV,SkewMond,JUNGLE,17,5,0,10,236,215,,7.8,14155,468,22.30%,72,12,17,10,8,2.38,0.4,0.33,0.56,22.20%,17593,14685,1477,1431,582,24.90%,0.5,94%,,0,0,0,0,853,26,1554,2,0,4907,4907,14583,0,37630,0,18,651,22429,0,12,35,0,0,353
3,G2,Akali,Caps,MID,17,5,0,3,281,0,,9.3,13200,436,20.80%,34,10,6,7,6,1.12,0.33,0.23,0.2,10.50%,18141,1304,15917,920,600,26%,0.26,50%,,1,0,0,0,478,-11,-67,0,0,7912,7912,5923,0,19311,0,1,86,23932,0,8,24,0,0,4
3,G2,Kog'Maw,Hans Sama,ADC,15,3,2,2,324,10,,10.7,14296,473,22.60%,46,18,12,7,7,1.52,0.6,0.23,0.4,14.20%,15073,5317,8989,767,498,21.30%,0.17,31%,,1,0,0,0,-376,-1,97,0,0,7302,7302,4141,0,8719,0,10,538,12897,43,8,27,0,246,600
3,G2,Lulu,Labrov,SUPPORT,13,0,1,11,23,0,,0.8,8554,283,13.50%,122,59,15,14,15,4.03,1.95,0.46,0.5,37.70%,5019,810,4209,0,166,7.10%,0.36,69%,,0,0,0,0,-50,0,-42,0,0,1197,1197,3838,895,6222,4584,19,162,11114,20,20,35,0,0,29
3,GEN,Gwen,Kiin,TOP,17,1,4,1,271,0,,9,10822,358,21%,39,12,11,0,0,1.29,0.4,0,0.36,13.10%,22687,2933,15084,4670,750,35.00%,0.07,66.70%,,0,0,0,0,-54,7,53,0,0,3996,3996,6794,0,26284,0,3,42,27482,124,2,19,246,0,0
3,GEN,Ambessa,Canyon,JUNGLE,14,1,3,1,202,188,,6.7,9802,324,18.80%,46,10,8,7,7,1.52,0.33,0.23,0.26,15.50%,4666,4586,0,80,154,7.20%,0.07,66.70%,,0,0,0,0,-853,-26,-1554,-2,0,0,0,8970,0,17185,0,6,414,19735,57,8,26,0,0,176
3,GEN,Azir,Chovy,MID,17,0,3,2,313,4,,10.3,11097,367,21.30%,34,13,6,3,3,1.12,0.43,0.1,0.2,11.40%,18774,574,18107,93,621,29.00%,0.07,66.70%,,0,0,0,0,-478,11,67,0,0,4551,4551,1612,0,12761,0,12,214,17063,86,6,26,0,0,21
3,GEN,Yunara,Ruler,ADC,14,1,2,2,318,9,,10.5,13243,438,25.40%,46,14,10,5,5,1.52,0.46,0.17,0.33,15.50%,10745,6144,4123,478,355,16.60%,0.1,100.00%,,0,0,0,0,376,1,-97,0,0,1433,1433,6508,0,9130,0,8,290,16094,43,9,31,0,0,0
3,GEN,Neeko,Duro,SUPPORT,11,0,4,3,28,0,,0.9,7151,236,13.70%,132,62,18,15,16,4.36,2.05,0.5,0.6,44.40%,7869,733,7136,0,260,12.20%,0.1,100.00%,,0,0,0,0,50,0,42,0,0,0,0,1604,792,5402,0,18,39,11842,75,19,38,0,0,0
